*******************************************************************************
 Revised: Jan 21, 2015   Voyager 1 Spacecraft (interplanetary) / (Sun)     -31
                         http://www.jpl.nasa.gov/missions/voyager-1/

 BACKGROUND
   See the web-page above for extensive information on the Voyager Mission.

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Sep-5 to 1986-Jan-1:
          A patched conic mission-design type trajectory in which the conics 
          were constructed to approximately match specific events (such 
          satellite encounters), providing a rough accuracy. 

     #2) 1986-Jan-1 to 2031-Jan-1 (pfile_a54206u)
          Time-extended trajectory provided by Voyager Navigation
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 17:02:16 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1978-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-01 00:00:00.0000 UT      
Step-size       : 6 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210311.p210602                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAR-11. PREDICTS-> 2021-JUN-01
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),     ObsEcLon,   ObsEcLat,
**************************************************************************
$$SOE
date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 1978-Jan-01 00:00, , ,    52.06147,   20.73814,   54.5795253,  1.8021194,
 1978-Jul-01 00:00, , ,   109.59527,   22.86676,  107.6954200,  0.6411235,
 1979-Jan-01 00:00, , ,   132.73982,   18.48124,  129.7816420,  0.7863426,
 1979-Jul-01 00:00, , ,   139.96375,   16.72939,  136.8769578,  1.0899727,
 1980-Jan-01 00:00, , ,   171.73092,    5.71878,  169.8722311,  1.9766277,
 1980-Jul-01 00:00, , ,   170.48109,    6.38365,  168.4695293,  2.0995217,
 1981-Jan-01 00:00, , ,   191.57322,   -0.29522,  190.4876320,  4.3056913,
 1981-Jul-01 00:00, , ,   192.05040,    6.38939,  188.2853924, 10.6412141,
 1982-Jan-01 00:00, , ,   210.04041,    4.07714,  206.2070501, 15.2989858,
 1982-Jul-01 00:00, , ,   209.17534,    9.16374,  203.4413315, 19.7306115,
 1983-Jan-01 00:00, , ,   221.68247,    6.57280,  216.8282297, 21.5798365,
 1983-Jul-01 00:00, , ,   220.47251,   10.58513,  214.1827706, 24.9855862,
 1984-Jan-01 00:00, , ,   229.32131,    8.03828,  224.2267411, 25.2766776,
 1984-Jul-01 00:00, , ,   228.08763,   11.32264,  221.8600326, 28.0629374,
 1985-Jan-01 00:00, , ,   234.66584,    8.97039,  229.6358351, 27.6186748,
 1985-Jul-01 00:00, , ,   233.47192,   11.74080,  227.5171415, 29.9802696,
 1986-Jan-01 00:00, , ,   238.52359,    9.58754,  233.6680541, 29.1639971,
 1986-Jul-01 00:00, , ,   237.42154,   12.01718,  231.7832231, 31.2599245,
 1987-Jan-01 00:00, , ,   241.43325,   10.05131,  236.7744089, 30.2723413,
 1987-Jul-01 00:00, , ,   240.45388,   12.17273,  235.1369503, 32.1258340,
 1988-Jan-01 00:00, , ,   243.72550,   10.37451,  239.2723642, 31.0685189,
 1988-Jul-01 00:00, , ,   242.82343,   12.26770,  237.8017479, 32.7366675,
 1989-Jan-01 00:00, , ,   245.59599,   10.62581,  241.3400693, 31.6814064,
 1989-Jul-01 00:00, , ,   244.75077,   12.33397,  239.9954987, 33.1956290,
 1990-Jan-01 00:00, , ,   247.10792,   10.81744,  243.0318548, 32.1487992,
 1990-Jul-01 00:00, , ,   246.33883,   12.37781,  241.8215317, 33.5443034,
