*******************************************************************************
 Revised: Jan 21, 2015   Voyager 2 Spacecraft (interplanetary) / (Sun)     -32
                         http://www.jpl.nasa.gov/missions/voyager-2/

 BACKGROUND
   See the web-page above for extensive information on the Voyager Mission.

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Aug-20 to 1989-Oct-01:
          A patched conic mission-design type trajectory in which the conics 
          were constructed to approximately match specific events (such 
          satellite encounters), providing a rough accuracy. 

     #2) 1989-Oct-01 to 2031-Jan-01 (pfile_m05016u_V0.2):
          Time extended trajectory from Voyager Navigation
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 18:07:35 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Earth (399)                     {source: Voyager_2}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1978-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-01 00:00:00.0000 UT      
Step-size       : 6 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_2}
Rel. light bend : Sun, EARTH                      {source: Voyager_2}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210311.p210602                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAR-11. PREDICTS-> 2021-JUN-01
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),     ObsEcLon,   ObsEcLat,
**************************************************************************
$$SOE
date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 1978-Jan-01 00:00, , ,    50.94962,   26.91050,   55.1321046,  8.0337929,
 1978-Jul-01 00:00, , ,   111.11296,   24.22046,  108.8863689,  2.1743846,
 1979-Jan-01 00:00, , ,   137.80946,   18.38127,  134.4244767,  2.0498164,
 1979-Jul-01 00:00, , ,   133.96088,   18.08207,  131.0024211,  0.7191232,
 1980-Jan-01 00:00, , ,   166.40556,    7.61727,  164.2594904,  1.6580594,
 1980-Jul-01 00:00, , ,   165.14458,    8.38275,  162.8127923,  1.8828615,
 1981-Jan-01 00:00, , ,   188.66551,   -1.25411,  188.1856649,  2.2834149,
 1981-Jul-01 00:00, , ,   183.98316,    0.87672,  183.0439753,  2.3885655,
 1982-Jan-01 00:00, , ,   205.12938,   -8.09411,  205.9784756,  2.1820840,
 1982-Jul-01 00:00, , ,   205.78899,   -8.58850,  206.7756073,  1.9556616,
 1983-Jan-01 00:00, , ,   225.13528,  -15.58880,  226.9343359,  1.4345793,
 1983-Jul-01 00:00, , ,   226.07793,  -16.07542,  227.9550500,  1.2198031,
 1984-Jan-01 00:00, , ,   240.14681,  -19.81063,  241.8393049,  0.7828453,
 1984-Jul-01 00:00, , ,   241.27746,  -20.22150,  242.9778049,  0.5866026,
 1985-Jan-01 00:00, , ,   250.95462,  -21.98281,  252.1679559,  0.3013623,
 1985-Jul-01 00:00, , ,   252.07317,  -22.28783,  253.2518493,  0.1294188,
 1986-Jan-01 00:00, , ,   258.65776,  -23.07439,  259.3722272, -0.0427740,
 1986-Jul-01 00:00, , ,   261.35674,  -23.08997,  261.8685254,  0.1129842,
 1987-Jan-01 00:00, , ,   267.32478,  -23.14575,  267.3518171,  0.2723876,
 1987-Jul-01 00:00, , ,   270.10165,  -22.98575,  269.9240152,  0.4551419,
 1988-Jan-01 00:00, , ,   274.16570,  -22.83830,  273.6656840,  0.5470396,
 1988-Jul-01 00:00, , ,   276.69796,  -22.58661,  276.0286879,  0.7105204,
 1989-Jan-01 00:00, , ,   279.52732,  -22.39232,  278.6461127,  0.7576926,
 1989-Jul-01 00:00, , ,   281.78578,  -22.09310,  280.7721361,  0.9022277,
 1990-Jan-01 00:00, , ,   282.83423,  -23.65009,  281.5990727, -0.7311801,
 1990-Jul-01 00:00, , ,   283.69223,  -25.87528,  282.1907029, -3.0182117,
