*******************************************************************************
 Revised: Jan 21, 2015   Voyager 1 Spacecraft (interplanetary) / (Sun)     -31
                         http://www.jpl.nasa.gov/missions/voyager-1/

 BACKGROUND
   See the web-page above for extensive information on the Voyager Mission.

 SPACECRAFT TRAJECTORY:
   This trajectory is composed of two merged sections:

     #1) 1977-Sep-5 to 1986-Jan-1:
          A patched conic mission-design type trajectory in which the conics 
          were constructed to approximately match specific events (such 
          satellite encounters), providing a rough accuracy. 

     #2) 1986-Jan-1 to 2031-Jan-1 (pfile_a54206u)
          Time-extended trajectory provided by Voyager Navigation
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Thu Mar 11 16:06:31 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1}
Center body name: Earth (399)                     {source: Voyager_1}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1978-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-01 00:00:00.0000 UT      
Step-size       : 6 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_1}
Rel. light bend : Sun, EARTH                      {source: Voyager_1}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210311.p210602                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-MAR-11. PREDICTS-> 2021-JUN-01
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,obsEcLng,obsEcLat,
 1978-Jan-01 00:00, , ,    52.06147,   20.73814,
 1978-Jul-01 00:00, , ,   109.59527,   22.86676,
 1979-Jan-01 00:00, , ,   132.73982,   18.48124,
 1979-Jul-01 00:00, , ,   139.96375,   16.72939,
 1980-Jan-01 00:00, , ,   171.73092,    5.71878,
 1980-Jul-01 00:00, , ,   170.48109,    6.38365,
 1981-Jan-01 00:00, , ,   191.57322,   -0.29522,
 1981-Jul-01 00:00, , ,   192.05040,    6.38939,
 1982-Jan-01 00:00, , ,   210.04041,    4.07714,
 1982-Jul-01 00:00, , ,   209.17534,    9.16374,
 1983-Jan-01 00:00, , ,   221.68247,    6.57280,
 1983-Jul-01 00:00, , ,   220.47251,   10.58513,
 1984-Jan-01 00:00, , ,   229.32131,    8.03828,
 1984-Jul-01 00:00, , ,   228.08763,   11.32264,
 1985-Jan-01 00:00, , ,   234.66584,    8.97039,
 1985-Jul-01 00:00, , ,   233.47192,   11.74080,
 1986-Jan-01 00:00, , ,   238.52359,    9.58754,
 1986-Jul-01 00:00, , ,   237.42154,   12.01718,
 1987-Jan-01 00:00, , ,   241.43325,   10.05131,
 1987-Jul-01 00:00, , ,   240.45388,   12.17273,
 1988-Jan-01 00:00, , ,   243.72550,   10.37451,
 1988-Jul-01 00:00, , ,   242.82343,   12.26770,
 1989-Jan-01 00:00, , ,   245.59599,   10.62581,
 1989-Jul-01 00:00, , ,   244.75077,   12.33397,
 1990-Jan-01 00:00, , ,   247.10792,   10.81744,
 1990-Jul-01 00:00, , ,   246.33883,   12.37781,
 1991-Jan-01 00:00, , ,   248.37292,   10.97058,
 1991-Jul-01 00:00, , ,   247.67070,   12.40715,
 1992-Jan-01 00:00, , ,   249.44787,   11.09540,
 1992-Jul-01 00:00, , ,   248.78895,   12.42359,
 1993-Jan-01 00:00, , ,   250.39266,   11.20261,
 1993-Jul-01 00:00, , ,   249.76598,   12.43721,
 1994-Jan-01 00:00, , ,   251.19614,   11.29003,
 1994-Jul-01 00:00, , ,   250.61654,   12.44676,
 1995-Jan-01 00:00, , ,   251.90151,   11.36518,
 1995-Jul-01 00:00, , ,   251.36336,   12.45363,
 1996-Jan-01 00:00, , ,   252.52535,   11.43076,
 1996-Jul-01 00:00, , ,   252.01177,   12.45636,
